post_id,timestamp,group,text_len,has_images,durable_score,keep,reason,topics,cluster
642,"jan 25, 2026 1:50:02 pm",Españoles que realmente se ayudan en Suiza,1383,1,6.61,1,informational,Immigration and permits; Working in Switzerland; Housing; Community life,Trámites: permisos y residencia
643,"jan 25, 2026 8:45:07 pm",Españoles que realmente se ayudan en Suiza,1024,1,5.41,1,informational,Working in Switzerland,"Trabajo: empleo, contratos y derechos"
644,"jan 26, 2026 8:21:50 am",Españoles que realmente se ayudan en Suiza,2972,1,11.91,1,informational,Swiss institutions; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
645,"jan 26, 2026 1:22:56 pm",Españoles que realmente se ayudan en Suiza,824,0,4.75,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
646,"jan 26, 2026 8:10:01 pm",Españoles que realmente se ayudan en Suiza,4378,1,16.59,1,informational,Swiss institutions; Working in Switzerland; Housing,Vivienda: alquiler y contratos
647,"jan 27, 2026 8:20:33 am",Españoles que realmente se ayudan en Suiza,1450,1,6.83,1,informational,Cost of living,Vida práctica: coste de vida
648,"jan 27, 2026 1:13:15 pm",Españoles que realmente se ayudan en Suiza,737,1,4.46,1,informational,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
649,"jan 27, 2026 3:55:58 pm",Españoles que realmente se ayudan en Suiza,49,0,0.16,0,low-density,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
650,"jan 27, 2026 8:10:01 pm",Españoles que realmente se ayudan en Suiza,1934,1,8.45,1,informational,Swiss institutions; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
651,"jan 28, 2026 8:12:58 am",Españoles que realmente se ayudan en Suiza,1764,1,7.88,1,informational,Health system,Salud: LAMal y sistema sanitario
652,"jan 28, 2026 4:13:20 pm",EspaÑoles en Ginebra,1106,0,5.69,1,informational,Swiss institutions; Local rules in Geneva,Vida local: Ginebra (normas y multas)
653,"jan 28, 2026 8:15:01 pm",Españoles que realmente se ayudan en Suiza,2924,1,11.75,1,informational,Working in Switzerland; Housing,Vivienda: alquiler y contratos
654,"jan 29, 2026 8:13:03 am",Españoles que realmente se ayudan en Suiza,1874,1,8.25,1,informational,Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
655,"jan 29, 2026 1:15:02 pm",Españoles que realmente se ayudan en Suiza,1958,1,8.53,1,informational,Health system; Local rules in Geneva,Vida local: Ginebra (normas y multas)
656,"jan 29, 2026 8:15:02 pm",Españoles que realmente se ayudan en Suiza,2855,1,11.52,1,informational,Working in Switzerland; Health system,Salud: LAMal y sistema sanitario
657,"jan 31, 2026 8:12:02 am",Españoles que realmente se ayudan en Suiza,1878,1,8.26,1,informational,Immigration and permits; Local rules in Geneva,Vida local: Ginebra (normas y multas)
658,"jan 31, 2026 1:23:22 pm",Españoles que realmente se ayudan en Suiza,2480,1,10.27,1,informational,Housing; Health system; Local rules in Geneva; Community life,Vida local: Ginebra (normas y multas)
659,"jan 31, 2026 8:24:03 pm",Españoles que realmente se ayudan en Suiza,3064,1,12.21,1,informational,Immigration and permits; Working in Switzerland; Housing,Trámites: permisos y residencia
660,"fév 01, 2026 8:23:18 am",Españoles que realmente se ayudan en Suiza,1688,1,7.63,1,informational,Swiss institutions; Working in Switzerland; Local rules in Geneva; Events and culture,Vida local: Ginebra (normas y multas)
661,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
662,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
663,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,1009,1,5.36,1,informational,Working in Switzerland; Housing; Local rules in Geneva; Fraud alerts; Community life,Alertas: fraudes y estafas
664,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
665,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
666,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
667,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,23,0,0.08,0,low-density,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
668,"fév 01, 2026 10:02:04 am",Españoles que realmente se ayudan en Suiza,0,1,0.00,0,empty,(unclassified),Miscelánea (Españoles que realmente se ayudan en Suiza)
669,"fév 01, 2026 1:36:13 pm",Españoles que realmente se ayudan en Suiza,2186,1,9.29,1,informational,Working in Switzerland; Housing; Community life,Vivienda: alquiler y contratos
670,"fév 02, 2026 8:12:38 am",Españoles que realmente se ayudan en Suiza,1202,1,6.01,1,informational,Local rules in Geneva,Vida local: Ginebra (normas y multas)
671,"fév 03, 2026 8:05:01 pm",Españoles que realmente se ayudan en Suiza,1980,1,8.60,1,informational,Swiss institutions; Local rules in Geneva,Vida local: Ginebra (normas y multas)
672,"fév 04, 2026 8:15:03 am",Españoles que realmente se ayudan en Suiza,3977,1,15.26,1,informational,Swiss institutions; Working in Switzerland,"Trabajo: empleo, contratos y derechos"
673,"fév 04, 2026 1:19:50 pm",Españoles que realmente se ayudan en Suiza,2631,1,10.77,1,informational,Immigration and permits; Working in Switzerland; Health system,Trámites: permisos y residencia
674,"fév 05, 2026 8:14:50 am",Españoles que realmente se ayudan en Suiza,1580,1,7.27,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
675,"fév 05, 2026 11:01:23 am",EspaÑoles en Ginebra,1580,1,7.27,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
676,"fév 05, 2026 1:19:35 pm",Españoles que realmente se ayudan en Suiza,2219,1,9.40,1,informational,Working in Switzerland; Local rules in Geneva; Events and culture,Vida local: Ginebra (normas y multas)
677,"fév 05, 2026 8:17:12 pm",Españoles que realmente se ayudan en Suiza,2438,0,10.13,1,informational,Swiss institutions; Immigration and permits; Working in Switzerland; Local rules in Geneva,Vida local: Ginebra (normas y multas)
678,"fév 06, 2026 8:15:02 am",Españoles que realmente se ayudan en Suiza,2033,1,8.78,1,informational,Swiss politics,Sistema suizo: política y democracia directa
679,"fév 06, 2026 1:15:02 pm",Españoles que realmente se ayudan en Suiza,2777,1,11.26,1,informational,Working in Switzerland; Housing; Local rules in Geneva; Events and culture,Vida local: Ginebra (normas y multas)
680,"fév 06, 2026 8:10:03 pm",Españoles que realmente se ayudan en Suiza,1813,1,8.04,1,informational,Working in Switzerland; Community life,"Trabajo: empleo, contratos y derechos"
681,"fév 07, 2026 8:50:03 am",Españoles que realmente se ayudan en Suiza,1595,1,7.32,1,informational,Cost of living; Swiss politics; Events and culture,Vida práctica: coste de vida
682,"fév 07, 2026 1:28:26 pm",Españoles que realmente se ayudan en Suiza,1768,1,7.89,1,informational,Working in Switzerland,"Trabajo: empleo, contratos y derechos"
683,"fév 07, 2026 8:19:29 pm",Españoles que realmente se ayudan en Suiza,1827,1,8.09,1,informational,Events and culture,Vida local: eventos y cultura
